rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Ashita no Joe,Tomorrow's Joe,あしたのジョー,TV,110922,8.35,1970,https://cdn.myanimelist.net/images/anime/5/64671.jpg
2,Attack No.1,Attack No.1,アタックNo.1,TV,11152,6.76,1970,https://cdn.myanimelist.net/images/anime/1324/135450.jpg
3,Cleopatra,Cleopatra: Queen of Sex,クレオパトラ,Movie,7965,5.49,1970,https://cdn.myanimelist.net/images/anime/1694/119751.jpg
4,Konchuu Monogatari Minashigo Hutch,The Adventures of Hutch the Honeybee,昆虫物語みなしごハッチ,TV,4367,6.62,1970,https://cdn.myanimelist.net/images/anime/12/6900.jpg
5,Akakichi no Eleven,Akakichi no Eleven,赤き血のイレブン,TV,2745,6.59,1970,https://cdn.myanimelist.net/images/anime/4/23205.jpg
6,Mahou no Mako-chan,Mahou no Mako-chan,魔法のマコちゃん,TV,2706,6.47,1970,https://cdn.myanimelist.net/images/anime/7/56381.jpg
7,The Bathroom,The Bathroom,ザ・バスルーム,Movie,1927,4.22,1970,https://cdn.myanimelist.net/images/anime/9/27375.jpg
9,Kaitei Sanman Mile,Kaitei Sanman Mile,海底3万マイル,Movie,1504,5.56,1970,https://cdn.myanimelist.net/images/anime/1711/147719.jpg
10,Kick no Oni,Demon of the Kick,キックの鬼,TV,1381,6.1,1970,https://cdn.myanimelist.net/images/anime/1578/113488.jpg
11,Inakappe Taishou,General Inakappe,いなかっぺ大将,TV,1337,6.25,1970,https://cdn.myanimelist.net/images/anime/5/59671.jpg
12,Kenju Giga,Anthropo-Cynical Farce,犬儒戯画,Movie,1316,4.9,1970,https://cdn.myanimelist.net/images/anime/6/17203.jpg
13,Chibikko Remi to Meiken Kapi,Chibikko Remi to Meiken Kapi,ちびっ子レミと名犬カピ,Movie,1291,5.86,1970,https://cdn.myanimelist.net/images/anime/11/28419.jpg
15,Yasashii Lion,Yasashii Lion,やさしいライオン,Movie,1218,5.53,1970,https://cdn.myanimelist.net/images/anime/1238/112799.jpg
19,Bakuhatsu Gorou,Bakuhatsu Gorou,ばくはつ五郎,TV,1029,5.6,1970,https://cdn.myanimelist.net/images/anime/1855/90302.jpg
20,Norakuro,Norakuro,のらくろ,TV,780,6.09,1970,https://cdn.myanimelist.net/images/anime/1832/120960.jpg
21,Hana to Mogura,The Flower and the Mole,花ともぐら,Movie,750,5.49,1970,https://cdn.myanimelist.net/images/anime/9/36697.jpg
22,"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu","""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu","""いそっぷ""のおはなしより 牛とかえる, よくばった犬",Movie,712,5.54,1970,https://cdn.myanimelist.net/images/anime/3/65151.jpg
24,Otoko Doahou! Koushien,Otoko Doahou! Koushien,男どアホウ! 甲子園,TV,692,,1970,https://cdn.myanimelist.net/images/anime/4/59799.jpg
25,Avignon no Hashi de,Avignon no Hashi de,アビニョンの橋で,Music,686,4.75,1970,https://cdn.myanimelist.net/images/anime/12/24341.jpg
