rank,title,title_english,title_japanese,type,members,score,year,image_url
1,UFO Robo Grendizer,UFO Robo Grendizer,UFOロボ グレンダイザー,TV,14188,7.57,1975,https://cdn.myanimelist.net/images/anime/1440/127558.jpg
2,Mitsubachi Maya no Bouken,Maya the Bee,みつばちマーヤの冒険,TV,11350,6.59,1975,https://cdn.myanimelist.net/images/anime/6/3358.jpg
3,Flanders no Inu,A Dog of Flanders,フランダースの犬,TV,9211,7.41,1975,https://cdn.myanimelist.net/images/anime/2/17492.jpg
4,Arabian Nights: Sindbad no Bouken (TV),Arabian Nights: Sinbad's Adventures,アラビアンナイト シンドバットの冒険,TV,8390,7.21,1975,https://cdn.myanimelist.net/images/anime/2/31935.jpg
5,Andersen Douwa: Ningyohime,Hans Christian Anderson's The Little Mermaid,アンデルセン童話 にんぎょ姫,Movie,6935,6.86,1975,https://cdn.myanimelist.net/images/anime/1917/112312.jpg
6,Gamba no Bouken,Adventure of Gamba,ガンバの冒険,TV,5730,7.25,1975,https://cdn.myanimelist.net/images/anime/10/57873.jpg
7,Koutetsu Jeeg,Koutetsu Jeeg,鋼鉄ジーグ,TV,4449,7.07,1975,https://cdn.myanimelist.net/images/anime/1467/92724.jpg
8,Uchuu no Kishi Tekkaman,Tekkaman,宇宙の騎士テッカマン,TV,4225,6.18,1975,https://cdn.myanimelist.net/images/anime/1159/134564.jpg
10,Yuusha Raideen,Yuusha Raideen,勇者ライディーン,TV,3996,6.49,1975,https://cdn.myanimelist.net/images/anime/1962/119355.jpg
11,Time Bokan,Time Fighters,タイムボカン,TV,3495,6.44,1975,https://cdn.myanimelist.net/images/anime/1375/132662.jpg
12,Great Mazinger tai Getter Robo,Great Mazinger tai Getter Robo,グレートマジンガー対ゲッターロボ,Movie,3320,6.05,1975,https://cdn.myanimelist.net/images/anime/1633/99758.jpg
13,La Seine no Hoshi,La Seine no Hoshi,ラ・セーヌの星,TV,3294,6.58,1975,https://cdn.myanimelist.net/images/anime/6/60815.jpg
14,Ikkyuu-san,Ikkyu the Little Monk,一休さん,TV,3171,6.89,1975,https://cdn.myanimelist.net/images/anime/6/60917.jpg
