rank,title,title_english,title_japanese,type,members,score,year
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,1978236,8.75,1998
2,Perfect Blue,Perfect Blue,パーフェクトブルー,Movie,772341,8.55,1998
3,Initial D First Stage,Initial D First Stage,頭文字〈イニシャル〉D,TV,417936,8.35,1998
4,Trigun,Trigun,トライガン,TV,804185,8.22,1998
5,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,TV,471329,8.18,1998
7,Serial Experiments Lain,Serial Experiments Lain,シリアルエクスペリメンツレイン,TV,848559,8.09,1998
9,Seihou Bukyou Outlaw Star,Outlaw Star,星方武侠アウトロースター,TV,165012,7.83,1998
11,Change!! Getter Robo: Sekai Saigo no Hi,Getter Robo: Armageddon,真(チェンジ!!)ゲッターロボ 世界最後の日,OVA,17312,7.73,1998
13,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,セクシーコマンドー外伝 すごいよ!! マサルさん,TV,13504,7.61,1998
14,Master Keaton,Master Keaton,マスターキートン,TV,30906,7.61,1998
15,Kareshi Kanojo no Jijou,His and Her Circumstances,彼氏彼女の事情,TV,245341,7.6,1998
18,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,ヨコハマ買い出し紀行,OVA,44486,7.43,1998
19,Cowboy Bebop: Yose Atsume Blues,Cowboy Bebop: Session XX - Mish-Mash Blues,カウボーイビバップ よせあつめブルース,TV Special,51957,7.41,1998
20,Bishoujo Senshi Sailor Moon Memorial,Pretty Soldier Sailor Moon Memorial,美少女戦士セーラームーン メモリアル,OVA,18993,7.38,1998
24,Slayers Excellent,Slayers Excellent,スレイヤーズえくせれんと,OVA,21947,7.28,1998
26,Legend of Basara,Legend of Basara,LEGEND OF BASARA,TV,14462,7.26,1998
29,Hunter x Hunter Pilot,Hunter x Hunter Pilot,ハンターxハンター,OVA,30709,7.2,1998
30,Princess Nine: Kisaragi Joshikou Yakyuubu,Princess Nine,プリンセスナイン 如月女子高野球部,TV,13786,7.16,1998
31,Mahou no Stage Fancy Lala,Magical Stage Fancy Lala,魔法のステージ・ファンシーララ,TV,13500,7.14,1998
32,Jigoku Sensei Nube OVA,Hell Teacher Nube,地獄先生ぬ～べ～,OVA,4121,7.13,1998
33,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,ロードス島戦記　英雄騎士伝,TV,37664,7.11,1998
35,Bubblegum Crisis Tokyo 2040,Bubblegum Crisis Tokyo 2040,バブルガムクライシス TOKYO2040,TV,42479,7.08,1998
36,Shadow Skill: Eigi,Shadow Skill: Eigi,影技 SHADOW SKILL,TV,16211,7.07,1998
37,Majutsushi Orphen,Orphen,魔術士オーフェン,TV,49121,7.07,1998
38,Seihou Bukyou Outlaw Star Specials,Outlaw Star,星方武侠アウトロースター,Special,8471,7.07,1998
39,Fushigi Mahou Fun Fun Pharmacy,Fushigi Mahou Fun Fun Pharmacy,ふしぎ魔法 ファンファン・ファーマシィー,TV,4411,7.06,1998
41,Lost Universe,Lost Universe,ロスト・ユニバース,TV,18568,6.99,1998
42,Ao no 6-gou,Blue Submarine No. 6,青の6号,OVA,62223,6.98,1998
43,Popolocrois Monogatari,Popolocrois Monogatari,ポポロクロイス物語,TV,4196,6.98,1998
44,Doraemon: Kaette Kita Doraemon (Movie),Doraemon: Doraemon Comes Back (Movie),ドラえもん 帰ってきたドラえもん,Movie,3212,6.97,1998
45,Uchuu no Kishi Tekkaman Blade OVA: Twin Blood,Tekkaman Blade: Twin Blood,宇宙の騎士テッカマンブレード,OVA,4375,6.95,1998
47,Urayasu Tekkin Kazoku,Urayasu Tekkin Kazoku,浦安鉄筋家族,TV,2692,6.91,1998
48,Night Walker: Mayonaka no Tantei,Nightwalker: The Midnight Detective,Night Walker -真夜中の探偵-,TV,23153,6.9,1998
49,Glass no Kamen: Sen no Kamen wo Motsu Shoujo,Glass Mask: The Girl of a Thousand Masks,ガラスの仮面～千の仮面を持つ少女～,OVA,3126,6.89,1998
50,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Oh! My Goddess: The Adventures of Mini-Goddess,ああっ女神さまっ 小っちゃいって事は便利だねっ,TV,23293,6.88,1998
