rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Dororo,Dororo,どろろ,Manga,19211,7.32,1967,https://cdn.myanimelist.net/images/manga/3/268150l.jpg
2,Lupin III,Lupin the 3rd,ルパン三世,Manga,5660,7.3,1967,https://cdn.myanimelist.net/images/manga/4/261098l.jpg
3,Nekome Kozou,Cat Eyed Boy,猫目小僧,Manga,3375,6.96,1967,https://cdn.myanimelist.net/images/manga/3/76165l.jpg
4,Giant Robo,,ジャイアントロボ,Manga,1153,6.27,1967,https://cdn.myanimelist.net/images/manga/4/89947l.jpg
5,009 no 1,,009ノ1,Manga,869,,1967,https://cdn.myanimelist.net/images/manga/2/111935l.jpg
6,Ao no 6-gou,,青の6号,Manga,613,,1967,https://cdn.myanimelist.net/images/manga/3/76761l.jpg
7,Owarinaki Gogo,,終りなき午後,One-shot,581,5.65,1967,https://cdn.myanimelist.net/images/manga/1/166672l.jpg
8,Umibe no Machi,,うみべのまち 佐々木マキのマンガ1967-81,Manga,568,6.72,1967,https://cdn.myanimelist.net/images/manga/1/272817l.jpg
9,Suikoden,,水滸伝,Manga,426,,1967,https://cdn.myanimelist.net/images/manga/3/65971l.jpg
10,Akanbou Shoujo,,赤んぼう少女,Manga,408,,1967,https://cdn.myanimelist.net/images/manga/3/76157l.jpg
11,Ningen-domo Atsumare!,,人間ども集まれ!,Manga,407,,1967,https://cdn.myanimelist.net/images/manga/2/154243l.jpg
12,Tensai Bakabon,The Genius Bakabon,天才バカボン,Manga,355,,1967,https://cdn.myanimelist.net/images/manga/4/322796l.jpg
13,Gum Gum Punch,,ガムガムパンチ,Manga,290,,1967,https://cdn.myanimelist.net/images/manga/1/36194l.jpg
14,Muyonosuke,,無用ノ介,Manga,191,,1967,https://cdn.myanimelist.net/images/manga/1/45379l.jpg
15,The Shadowman,The Shadowman,ザ・シャドウマン,Manga,185,,1967,https://cdn.myanimelist.net/images/manga/2/64359l.jpg
16,Genma Taisen,,幻魔大戦,Manga,129,,1967,https://cdn.myanimelist.net/images/manga/2/281398l.jpg
17,Versailles no Bara 40-shuunen + Debut 45-shuunen Kinen Ikeda Riyoko no Sekai,,ベルサイユのばら40周年+デビュー45周年記念 池田理代子の世界,Manga,82,,1967,https://cdn.myanimelist.net/images/manga/3/288045l.jpg
18,Genshi-san,,原始さん,Manga,77,,1967,https://cdn.myanimelist.net/images/manga/3/170483l.jpg
19,Mouretsu Atarou,,もーれつア太郎,Manga,76,,1967,https://cdn.myanimelist.net/images/manga/2/230360l.jpg
20,Nana to Lili,,ナナとリリ,Manga,60,,1967,https://cdn.myanimelist.net/images/manga/1/131643l.jpg
21,Kaitou Koumori Danshaku Series,The Phantom Thief Baron Bat,怪盗こうもり男爵シリーズ,Manga,54,,1967,https://cdn.myanimelist.net/images/manga/1/308142l.jpg
22,Kegarenaki Bojou,,けがれなき慕情,Manga,46,,1967,https://cdn.myanimelist.net/images/manga/2/197576l.jpg
23,Tange Sazen,,丹下左膳,Manga,34,,1967,https://cdn.myanimelist.net/images/manga/1/237789l.jpg
24,Broadway no Hoshi,,ブロードウェイの星,Manga,30,,1967,https://cdn.myanimelist.net/images/manga/3/340499l.jpg
25,Fuminshou,,不眠症,One-shot,25,,1967,https://cdn.myanimelist.net/images/manga/1/329388l.jpg
26,Comet-san,,コメットさん,Manga,13,,1967,https://cdn.myanimelist.net/images/manga/2/348816l.jpg
