rank,title,title_english,title_japanese,type,members,score,year,image_url
1,GTO,GTO: Great Teacher Onizuka,GTO,Manga,193153,8.86,1996,https://cdn.myanimelist.net/images/manga/2/172982l.jpg
2,Ping Pong,,ピンポン,Manga,26605,8.55,1996,https://cdn.myanimelist.net/images/manga/2/151416l.jpg
3,Berserk: Shinen no Kami 2,,ベルセルク 深淵の神②,One-shot,20676,8.47,1996,https://cdn.myanimelist.net/images/manga/1/162254l.jpg
3,Tobaku Mokushiroku Kaiji,Gambling Apocalypse Kaiji,賭博黙示録カイジ,Manga,25124,8.47,1996,https://cdn.myanimelist.net/images/manga/3/286560l.jpg
5,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,Manga,71233,8.38,1996,https://cdn.myanimelist.net/images/manga/3/259289l.jpg
6,Mars,Mars,MARS,Manga,39668,8.32,1996,https://cdn.myanimelist.net/images/manga/1/191262l.jpg
7,Tokyo Crazy Paradise,,東京クレイジーパラダイス,Manga,19939,8.31,1996,https://cdn.myanimelist.net/images/manga/3/253309l.jpg
8,Hanazakari no Kimitachi e,Hana-Kimi: For You in Full Blossom,花ざかりの君たちへ,Manga,40151,8.28,1996,https://cdn.myanimelist.net/images/manga/3/262555l.jpg
9,Complex,,コンプレックス,Manga,4058,8.13,1996,https://cdn.myanimelist.net/images/manga/3/261209l.jpg
10,Ashita no Ousama,,明日の王様,Manga,4915,8.06,1996,https://cdn.myanimelist.net/images/manga/2/173875l.jpg
11,Love Mode,Love Mode,ラブモード,Manga,3521,8.05,1996,https://cdn.myanimelist.net/images/manga/3/5214l.jpg
12,Moribito Series,Moribito,守り人シリーズ,Light Novel,4197,7.99,1996,https://cdn.myanimelist.net/images/manga/1/277607l.jpg
13,Seikai no Monshou,Crest of the Stars,星界の紋章,Light Novel,2164,7.91,1996,https://cdn.myanimelist.net/images/manga/1/125263l.jpg
14,InuYasha,InuYasha,犬夜叉,Manga,72512,7.89,1996,https://cdn.myanimelist.net/images/manga/3/262295l.jpg
15,Ginga Tetsudou 999 (1996),Galaxy Express 999,銀河鉄道999,Manga,2901,7.88,1996,https://cdn.myanimelist.net/images/manga/1/191346l.jpg
16,Shin Getter Robo,,真ゲッターロボ,Manga,3351,7.81,1996,https://cdn.myanimelist.net/images/manga/3/157458l.jpg
17,Seikai no Senki,Banner of the Stars,星界の戦旗,Light Novel,1113,7.76,1996,https://cdn.myanimelist.net/images/manga/3/125255l.jpg
18,Yu☆Gi☆Oh!,Yu-Gi-Oh!,遊☆戯☆王,Manga,45705,7.71,1996,https://cdn.myanimelist.net/images/manga/2/262097l.jpg
19,Itou Junji Kyoufu Manga Collection 15: Shibito no Koiwazurai,,伊藤潤二恐怖マンガCOLLECTION⑮ 死びとの恋わずらい,Manga,10943,7.67,1996,https://cdn.myanimelist.net/images/manga/3/186945l.jpg
20,Tajuu Jinkaku Tantei Psycho,MPD Psycho,多重人格探偵サイコ,Manga,33130,7.6,1996,https://cdn.myanimelist.net/images/manga/2/143117l.jpg
20,Vampire Game,Vampire Game,吸血遊戯〈ヴァンパイア・ゲーム〉,Manga,6812,7.6,1996,https://cdn.myanimelist.net/images/manga/3/172989l.jpg
22,The☆Doraemons Special,,ザ☆ドラえもんズスペシャル,Manga,809,7.57,1996,https://cdn.myanimelist.net/images/manga/3/306869l.jpg
23,Ayashi no Ceres,Ceres: Celestial Legend,妖しのセレス,Manga,15318,7.55,1996,https://cdn.myanimelist.net/images/manga/3/160959l.jpg
23,Gravitation,Gravitation,グラビテーション,Manga,15412,7.55,1996,https://cdn.myanimelist.net/images/manga/2/112343l.jpg
25,Yasha,,YASHA-夜叉-,Manga,2978,7.54,1996,https://cdn.myanimelist.net/images/manga/3/156695l.jpg
26,Over Rev!,A Legend of Ultimate Hot Rodder,オーバーレブ！,Manga,3833,7.53,1996,https://cdn.myanimelist.net/images/manga/3/179566l.jpg
27,Megami Ibunroku: Persona,,女神異聞録 ～ペルソナ～,Manga,5344,7.52,1996,https://cdn.myanimelist.net/images/manga/2/258997l.jpg
27,Yamada Tarou Monogatari,,山田太郎ものがたり,Manga,1480,7.52,1996,https://cdn.myanimelist.net/images/manga/1/80813l.jpg
29,Bad Company,,BAD COMPANY,Manga,17017,7.48,1996,https://cdn.myanimelist.net/images/manga/3/18566l.jpg
30,Eat-Man,Eat-Man,EAT-MAN,Manga,4547,7.47,1996,https://cdn.myanimelist.net/images/manga/2/324796l.jpg
31,Night of the Beasts,Night of the Beasts,獣たちの夜,Manga,2528,7.45,1996,https://cdn.myanimelist.net/images/manga/2/5124l.jpg
32,Houshin Engi,Hoshin Engi,封神演義,Manga,9225,7.44,1996,https://cdn.myanimelist.net/images/manga/3/203313l.jpg
